Key,File,Type,UsedInMainMenu,NoTranslate,english
{my_key},{xml_file},{type_of_object},{true/false/null},{true/false/null},"{Localized_Name_Eng}"
attsurvival,progression,attribute,,,"Survival"
attSurvivalName,progression,attribute,,,"Attribute: Survival"
attSurvivalDesc,progression,attribute,,,"Survival is the measure of your ability to basically not die through your own ineptitude, well done!"
reqSurvivalLevel01,progression,attribute,,,"Survival Level 1"
attSurvivalRank01Desc,progression,attribute,,,"Average"
attSurvivalRank01LongDesc,progression,attribute,,,"Being average is better than being below average. If you have survived this long you must being do something right? RIGHT?"
skillSurvivalGeneralName,progression,attribute,,,"General Perks"
skillSurvivalInfluenceName,progression,attribute,,,"General Influence Perks"
skillSurvivalScavengingName,progression,attribute,,,"General Scavenging Perks"
skillSurvivalSurvivalName,progression,attribute,,,"General Survival Perks"
perkLockPickingRank1LongDescVPU,progression,perk Per,,,"Burglar. You are starting to make a name for yourself. You can pick locks 20% faster and have a 20% lower chance to break lockpicks. Craft lockpicks."
perkLockPickingRank2LongDescVPU,progression,perk Per,,,"You are now a lock smith and few locks will keep you out. You can pick locks 40% faster and have a 40% lower chance to break lockpicks."
perkLockPickingRank3LongDescVPU,progression,perk Per,,,"You are now a world class safe cracker. Pick locks 60% faster and have a 60% lower chance to break lockpicks."
resourceAcidVPUSchematic,items,item,,,"Acid Recipe"
