Key,File,Type,UsedInMainMenu,NoTranslate,english
{my_key},{xml_file},{type_of_object},{true/false/null},{true/false/null},"{Localized_Name_Eng}"
attsurvival,progression,attribute,,,"Survival"
attSurvivalName,progression,attribute,,,"Attribute: Survival"
attSurvivalDesc,progression,attribute,,,"Survival is the measure of your ability to basically not die through your own ineptitude, well done!"
reqSurvivalLevel01,progression,attribute,,,"Survival Level 1"
attSurvivalRank01Desc,progression,attribute,,,"Average"
attSurvivalRank01LongDesc,progression,attribute,,,"Being average is better than being below average. If you have survived this long you must being do something right? RIGHT?"
skillSurvivalGeneralName,progression,attribute,,,"General Perks"
skillSurvivalInfluenceName,progression,attribute,,,"General Influence Perks"
skillSurvivalScavengingName,progression,attribute,,,"General Scavenging Perks"
skillSurvivalSurvivalName,progression,attribute,,,"General Survival Perks"
perkLockPickingRank1LongDescDGB,progression,perk Per,,,"Burglar. You are starting to make a name for yourself. You can pick locks 20% faster and have a 20% lower chance to break lockpicks. Craft lockpicks."
perkLockPickingRank2LongDescDGB,progression,perk Per,,,"You are now a lock smith and few locks will keep you out. You can pick locks 40% faster and have a 40% lower chance to break lockpicks."
perkLockPickingRank3LongDescDGB,progression,perk Per,,,"You are now a world class safe cracker. Pick locks 60% faster and have a 60% lower chance to break lockpicks."
resourceAcidSchematicDGB,items,item,,,"Acid Recipe"
meleeWpnBladeT1MacheteDGB,items,Melee,,,Iron Machete
meleeWpnBladeT1MacheteDGBDesc,items,Melee,,,Great for chopping zombies and sometimes trees and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\nRepair with a Repair Kit.\nScrap to Machete part.
meleeWpnBladeT1MacheteSchematicDGB,items,Melee,,,Iron Machete Schematic
meleeWpnBladeT3MacheteSchematic,items,Melee,,,Steele Machete Schematic
meleeWpnBladeT3Machete,items,Melee,,,Steele Machete
meleeWpnBladeT3MacheteSchematic,items,Melee,,,Steele Machete Schematic
